cluster,phase,scope,job_id,state,reason,source_sha,container,script,log_link,wandb_link,source_image_digest,container_sha256,exit_code,capture_evidence,replay_evidence
ptyche,stage,nightly,2456107,COMPLETED,immutable staging validated; full runtime smoke pending,24996e441d7095638f4bd8addf8f6d72aeb3c434,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../../../scripts/stage_enroot_image.sbatch,,,sha256:67ad116cb0a969ad2644869a4d0e2e3c5d7a859588dd1789dc25732ef3700dba,5781f94d8d7224957bb1c5d0d5a230c04042ac40545f086c9297e12d8c77b64b,0:0,,
ptyche,runtime_probe,full-runtime,2456229,FAILED,transformer_engine missing from staged nightly; model smoke blocked,24996e441d7095638f4bd8addf8f6d72aeb3c434,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../probe_latestmain_full_runtime.sbatch,,,sha256:67ad116cb0a969ad2644869a4d0e2e3c5d7a859588dd1789dc25732ef3700dba,5781f94d8d7224957bb1c5d0d5a230c04042ac40545f086c9297e12d8c77b64b,1:0,Python 3.13.13 and 4 GPUs passed; transformer_engine import failed,
ptyche,uv_overlay,default-uv-run,2456255,FAILED,default frozen uv environment lacks transformer_engine; model smoke blocked,24996e441d7095638f4bd8addf8f6d72aeb3c434,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../probe_latestmain_uv_overlay.sbatch,,,sha256:67ad116cb0a969ad2644869a4d0e2e3c5d7a859588dd1789dc25732ef3700dba,5781f94d8d7224957bb1c5d0d5a230c04042ac40545f086c9297e12d8c77b64b,1:0,tracked uv lock check failed; frozen source lock unchanged,
ptyche,uv_overlay_mcore,frozen-mcore-extra,2456309,FAILED,Bridge editable build rejected cached transformers dependency mismatch before imports; model smoke blocked,69de6bd55b86b57173e4db21a9586be869a1e642,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../probe_latestmain_uv_overlay.sbatch,,,sha256:67ad116cb0a969ad2644869a4d0e2e3c5d7a859588dd1789dc25732ef3700dba,5781f94d8d7224957bb1c5d0d5a230c04042ac40545f086c9297e12d8c77b64b,1:0,test-only 2456308 accepted; recursive Gym/Bridge/MCore source initialized; locked MCore transformers=5.8.1; tracked lock check failed; frozen lock unchanged; no source venv,
ptyche,uv_overlay_mcore,frozen-mcore-mamba-extra,2456759,TIMEOUT,cold Transformer Engine build exceeded the 20-minute probe limit before imports; model smoke blocked,51727413636105f0b1a3ff8a6178b68b34b0dd02,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../probe_latestmain_uv_overlay.sbatch,,,sha256:67ad116cb0a969ad2644869a4d0e2e3c5d7a859588dd1789dc25732ef3700dba,5781f94d8d7224957bb1c5d0d5a230c04042ac40545f086c9297e12d8c77b64b,TIMEOUT,test-only 2456757 accepted; Gym present; corrected Bridge and MCore built; Mamba built; Transformer Engine build timed out,tracked lock check failed; frozen lock unchanged; no source venv
ptyche,performance,nocg,2457754,FAILED,W&B API key was missing before model creation,9818e2525cbf4df021cd0628b0a9d47b63267a60,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/00_nocg_baked_uv_cache.sh,,,,,1:0,Ray 16/16; sequence packing config and dataset load passed,GRPO step 0; no performance or accuracy samples
ptyche,performance,nocg,2457775,FAILED,vLLM requested unauthenticated Hub metadata and hit HTTP 429 before model creation,9818e2525cbf4df021cd0628b0a9d47b63267a60,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/00_nocg_baked_uv_cache.sh,,,,,1:0,Ray 16/16 and W&B offline passed; complete 59G snapshot was present,GRPO step 0; no performance or accuracy samples
ptyche,performance,nocg-offline-snapshot,2458270,FAILED,MCore worker environment omitted megatron.energon,f7addaa2be16e88c0f45ad7de08b4f2aba688f1c,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/00_nocg_baked_uv_cache.sh,,,,,1:0,"20-step test-only 2458269 accepted; Ray cluster reached worker bootstrap","failed before GRPO step 0; no performance or accuracy samples"
ptyche,performance,nocg-offline-snapshot,2463283,FAILED,Four Ray nodes concurrently removed the shared VLLM worker venv during forced rebuild,c25fbf7638d339ddcaef34d79875154fc3c2f13b,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly_20260727_2456107.sqsh,../latestmain_nanov3/scopes/00_nocg_baked_uv_cache.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-nocg-performance-baked-uv-cache/2463283-logs/ray-driver.log,,,,1:0,"Ray 16/16; Energon/MCore/TE imports passed; local model and datasets loaded","OSError: Directory not empty in shared VLLM venv rmtree; failed before GRPO step 0"
ptyche,unit_test,shared-venv-race-red,2463382,FAILED,Expected RED reproduced duplicate shared worker venv rebuild,d880732b68b1839778b6cf90141d1ef18d4fc881,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly_20260727_2456107.sqsh,../../../../tests/unit/utils/test_venvs.py,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/venv-race-red/2463382.out,,,,1:0,Regression test observed two builders on one shared venv,assert build_calls == 1 failed with 2
